text,label
get free trial premium service,1
earn cashback every purchase sign today,1
double money 7 days invest,1
gym membership renew 20231101,0
reservation blue restaurant confirmed 8 pm,0
get free ipad pro exclusive offer,1
recent transaction 5000 processed,0
free gift every purchase shop,1
win luxury car enter contest,1
appointment dentist confirmed 11,0
package delivered track order,0
recent order shipped track,0
recent payment 15000 received,0
subscription abc magazine renewed,0
get free iphone 13 exclusive offer,1
exclusive offer buy one get one free items,1
reminder appointment dr smith scheduled 3 pm,0
insurance policy renewal due next month,0
recent payment 35000 received,0
recent transaction 7500 processed,0
credit card statement available,0
exclusive deal buy one get one free shoes,1
earn rewards every purchase sign today,1
free shipping orders 50,1
exclusive offer buy one get one free items,1
meeting agenda updated please check attachment,0
recent order delivered track,0
recent transaction 9000 processed,0
win trip new york enter contest,1
insurance policy renewal due next week,0
amazon order 123456 shipped track,0
get free trial premium service,1
insurance policy renewal due next month,0
subscription xyz magazine renewed,0
make 10000 month proven method,1
recent login new location verify account,0
flight confirmation flight aa123 20231020 8,0
limited stock buy get free gift,1
monthly bank statement ready please review,0
electricity bill october available,0
get free trial premium service,1
earn 5000 week working home start today,1
make money home simple method,1
cheap meds online prescription needed order,1
free gift every purchase shop,1
make 15000 month proven method,1
reservation red restaurant confirmed 7 pm,0
get free macbook exclusive offer,1
limited time offer 60 items,1
reservation green cafe confirmed 6 pm,0
win trip paris enter contest,1
recent payment 40000 received,0
credit card statement available,0
earn rewards every purchase sign today,1
recent order shipped track,0
internet bill october available,0
make money online proven method,1
get free ipad exclusive offer,1
internet bill december available,0
gym membership renew 20231115,0
recent login new device verify account,0
make money home simple method,1
recent login new location verify account,0
recent order shipped track,0
appointment doctor confirmed 9,0
recent transaction 12000 processed,0
appointment dentist confirmed 10,0
recent payment 10000 received,0
free gift every purchase shop,1
hi john lets catch lunch tomorrow 1 pm,0
earn rewards every purchase sign today,1
reservation grand hotel confirmed 7 pm,0
limited time offer 50 products shop,1
recent login new device verify account,0
credit card statement available,0
win trip london enter contest,1

