text,label
"Win a brand new iPhone 12! Click here to claim your prize now!",1
"Hi John, let's catch up for lunch tomorrow at 1 PM.",0
"Limited time offer: 50% off on all products! Shop now!",1
"Your monthly bank statement is ready. Please review it.",0
"Congratulations! You've won a $1000 Walmart gift card!",1
"Reminder: Your appointment with Dr. Smith is scheduled for 3 PM.",0
"Cheap meds online! No prescription needed! Order now!",1
"The meeting agenda has been updated. Please check the attachment.",0
"Earn $5000 a week working from home! Start today!",1
"Your package has been delivered. Track your order here.",0
"Hot singles in your area are waiting to meet you! Click here!",1
"Your Netflix subscription will renew on 2023-10-15.",0
"Get a free vacation to Hawaii! Just complete this survey!",1
"Your flight confirmation: Flight AA123 on 2023-10-20 at 8 AM.",0
"Lose 10 pounds in 7 days with this miracle diet!",1
"Your recent transaction of $50.00 has been processed.",0
"Exclusive deal: Buy one, get one free on all shoes!",1
"Your electricity bill for October is now available.",0
"Make $1000 daily with this simple trick! Click here to learn more!",1
"Your Amazon order #123456 has been shipped. Track it here.",0
"Free trial: Get 30 days of premium service for free!",1
"Your reservation at the Grand Hotel is confirmed for 7 PM.",0
"Double your money in just 7 days! Invest now!",1
"Your recent login was from a new device. Verify your account.",0
"Limited stock: Buy now and get a free gift!",1
"Your subscription to XYZ Magazine has been renewed.",0
"Earn cashback on every purchase! Sign up today!",1
"Your insurance policy renewal is due next week.",0
"Get a free iPhone 13 with this exclusive offer!",1
"Your recent payment of $100.00 has been received.",0
"Hot deals: Up to 70% off on electronics!",1
"Your gym membership will renew on 2023-11-01.",0
"Make money from home with this simple method!",1
"Your recent order has been shipped. Track it here.",0
"Free shipping on all orders over $50!",1
"Your credit card statement is now available.",0
"Win a luxury car! Enter the contest now!",1
"Your appointment with the dentist is confirmed for 10 AM.",0
"Get a free trial of our premium service!",1
"Your recent transaction of $75.00 has been processed.",0
"Exclusive offer: Buy one, get one free on all items!",1
"Your internet bill for October is now available.",0
"Make $5000 a month with this proven method!",1
"Your recent order has been delivered. Track it here.",0
"Free gift with every purchase! Shop now!",1
"Your recent payment of $200.00 has been received.",0
"Win a trip to Paris! Enter the contest now!",1
"Your reservation at the Blue Restaurant is confirmed for 8 PM.",0
"Get a free iPad with this exclusive offer!",1
"Your recent login was from a new location. Verify your account.",0
"Limited time offer: 60% off on all items!",1
"Your subscription to ABC News has been renewed.",0
"Earn rewards on every purchase! Sign up today!",1
"Your insurance policy renewal is due next month.",0
"Get a free MacBook with this exclusive offer!",1
"Your recent payment of $150.00 has been received.",0
"Hot deals: Up to 80% off on fashion!",1
"Your gym membership will renew on 2023-11-15.",0
"Make money online with this proven method!",1
"Your recent order has been shipped. Track it here.",0
"Free shipping on all orders over $100!",1
"Your credit card statement is now available.",0
"Win a luxury watch! Enter the contest now!",1
"Your appointment with the doctor is confirmed for 9 AM.",0
"Get a free trial of our premium service!",1
"Your recent transaction of $90.00 has been processed.",0
"Exclusive offer: Buy one, get one free on all items!",1
"Your internet bill for November is now available.",0
"Make $10,000 a month with this proven method!",1
"Your recent order has been delivered. Track it here.",0
"Free gift with every purchase! Shop now!",1
"Your recent payment of $300.00 has been received.",0
"Win a trip to New York! Enter the contest now!",1
"Your reservation at the Green Cafe is confirmed for 6 PM.",0
"Get a free iPhone 14 with this exclusive offer!",1
"Your recent login was from a new device. Verify your account.",0
"Limited time offer: 70% off on all items!",1
"Your subscription to XYZ News has been renewed.",0
"Earn rewards on every purchase! Sign up today!",1
"Your insurance policy renewal is due next week.",0
"Get a free MacBook Pro with this exclusive offer!",1
"Your recent payment of $250.00 has been received.",0
"Hot deals: Up to 90% off on electronics!",1
"Your gym membership will renew on 2023-12-01.",0
"Make money from home with this simple method!",1
"Your recent order has been shipped. Track it here.",0
"Free shipping on all orders over $150!",1
"Your credit card statement is now available.",0
"Win a luxury car! Enter the contest now!",1
"Your appointment with the dentist is confirmed for 11 AM.",0
"Get a free trial of our premium service!",1
"Your recent transaction of $120.00 has been processed.",0
"Exclusive offer: Buy one, get one free on all items!",1
"Your internet bill for December is now available.",0
"Make $15,000 a month with this proven method!",1
"Your recent order has been delivered. Track it here.",0
"Free gift with every purchase! Shop now!",1
"Your recent payment of $400.00 has been received.",0
"Win a trip to London! Enter the contest now!",1
"Your reservation at the Red Restaurant is confirmed for 7 PM.",0
"Get a free iPad Pro with this exclusive offer!",1
"Your recent login was from a new location. Verify your account.",0
"Limited time offer: 80% off on all items!",1
"Your subscription to ABC Magazine has been renewed.",0
"Earn rewards on every purchase! Sign up today!",1
"Your insurance policy renewal is due next month.",0
"Get a free MacBook Air with this exclusive offer!",1
"Your recent payment of $350.00 has been received.",0
